Rouge-2 (Precision)
0
0
0
0
0
0
0
0
0
0
0
0
0
0.033333333
0.111111111
0
0
0
0
0
0
0
0.333333333
1
0
1
0
0.125
0
0
0.166666667
0.2
1
0
0
1
0.133333333
0
1
0
0
0
0.133333333
0
0.444444444
0.25
0
0
0.769230769
1
0
0.071428571
0
1
0
